,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh),Longitude,Latitude
0,2001,Austria,Fossil,18.819009,30.824451727463998,14.6182508784562,2.40015,14.5501,47.5162
1,2001,Austria,Coal,6.893,11.2903365824103,20.3596996682381,1.166,14.5501,47.5162
2,2001,Austria,Hard Coal,5.2989999999999995,8.67945648486762,19.4813979706877,0.8640000000000001,14.5501,47.5162
3,2001,Austria,Lignite,1.594,2.61088009754274,23.3746130030959,0.302,14.5501,47.5162
4,2001,Austria,Gas,8.746,14.3254437472451,11.399821678767,0.895,14.5501,47.5162
5,2001,Austria,Other fossil,3.180009,5.20867139780853,11.938290495938,0.33915,14.5501,47.5162
6,2001,Austria,Nuclear,0.0,0.0,,0.0,14.5501,47.5162
7,2001,Austria,Renewables,42.233201,69.17554827253589,-2.7637879730662,-1.20041299999999,14.5501,47.5162
8,2001,Austria,Hydro,40.455405999999996,66.2636225617385,-3.2985165273618198,-1.37994599999999,14.5501,47.5162
9,2001,Austria,Wind and solar,0.109983,0.18014581290341397,57.1567380649586,0.0399999999999999,14.5501,47.5162
10,2001,Austria,Wind,0.104647,0.171405752551791,56.7651376696527,0.0378929999999999,14.5501,47.5162
11,2001,Austria,Solar,0.005336,0.00874006035162363,65.2524001238773,0.002107,14.5501,47.5162
12,2001,Austria,Bioenergy,1.6678119999999999,2.7317798978939503,9.13007376270955,0.139533,14.5501,47.5162
13,2001,Austria,Other renewables,0.0,0.0,,0.0,14.5501,47.5162
14,2001,Austria,Production,61.052209999999995,,2.00449027394407,1.19973699999999,14.5501,47.5162
15,2001,Austria,Net imports,0.214999999999999,,-115.71637426900499,1.5830000000000002,14.5501,47.5162
16,2001,Austria,Demand,61.26721,,4.75807826805587,2.782737,14.5501,47.5162
17,2001,Belgium,Fossil,31.194000000000003,39.677936350454104,-7.08328368878828,-2.378,4.4699,50.5039
18,2001,Belgium,Coal,9.936,12.6383271006639,-23.0721585630226,-2.98,4.4699,50.5039
19,2001,Belgium,Hard Coal,9.936,12.6383271006639,-23.0721585630226,-2.98,4.4699,50.5039
20,2001,Belgium,Lignite,0.0,0.0,,0.0,4.4699,50.5039
21,2001,Belgium,Gas,15.78,20.0717392963443,-1.23302246980034,-0.19699999999999998,4.4699,50.5039
22,2001,Belgium,Other fossil,5.478,6.96786995344577,17.0762983543492,0.7989999999999989,4.4699,50.5039
23,2001,Belgium,Nuclear,46.349,58.954692309649104,-3.7543866935232697,-1.8079999999999898,4.4699,50.5039
24,2001,Belgium,Renewables,1.07499999999999,1.36737133989671,2.9693486590038196,0.0309999999999999,4.4699,50.5039
25,2001,Belgium,Hydro,0.44099999999999895,0.560940242692513,-4.13043478260872,-0.0190000000000001,4.4699,50.5039
26,2001,Belgium,Wind and solar,0.037000000000000005,0.0470630135592358,131.25,0.0209999999999999,4.4699,50.5039
27,2001,Belgium,Wind,0.037000000000000005,0.0470630135592358,131.25,0.0209999999999999,4.4699,50.5039
28,2001,Belgium,Solar,0.0,0.0,,0.0,4.4699,50.5039
29,2001,Belgium,Bioenergy,0.597,0.7593680836449659,5.105633802816901,0.028999999999999998,4.4699,50.5039
30,2001,Belgium,Other renewables,0.0,0.0,,0.0,4.4699,50.5039
31,2001,Belgium,Production,78.618,,-5.01975281794788,-4.155,4.4699,50.5039
32,2001,Belgium,Net imports,9.106,,110.494683310217,4.78,4.4699,50.5039
33,2001,Belgium,Demand,87.7239999999999,,0.717574254583852,0.6249999999999849,4.4699,50.5039
34,2001,Bulgaria,Fossil,22.244,51.196832995765,12.371811063399802,2.449,25.4858,42.7339
35,2001,Bulgaria,Coal,19.497,44.8743325354446,15.0876571630954,2.556,25.4858,42.7339
36,2001,Bulgaria,Hard Coal,4.446000000000001,10.2329221137911,49.59623149394339,1.4739999999999898,25.4858,42.7339
37,2001,Bulgaria,Lignite,15.050999999999998,34.6414104216534,7.74572267163005,1.082,25.4858,42.7339
38,2001,Bulgaria,Gas,1.9080000000000001,4.3914564536917595,-0.209205020920499,-0.004,25.4858,42.7339
39,2001,Bulgaria,Other fossil,0.8390000000000001,1.93104400662861,-10.9341825902335,-0.10299999999999901,25.4858,42.7339
40,2001,Bulgaria,Nuclear,19.553,45.003222242680906,7.5640884585763,1.375,25.4858,42.7339
41,2001,Bulgaria,Renewables,1.6509999999999898,3.7999447615540403,-37.2481946028126,-0.98,25.4858,42.7339
42,2001,Bulgaria,Hydro,1.6509999999999898,3.7999447615540403,-37.2481946028126,-0.98,25.4858,42.7339
43,2001,Bulgaria,Wind and solar,0.0,0.0,,0.0,25.4858,42.7339
44,2001,Bulgaria,Wind,0.0,0.0,,0.0,25.4858,42.7339
45,2001,Bulgaria,Solar,0.0,0.0,,0.0,25.4858,42.7339
46,2001,Bulgaria,Bioenergy,0.0,0.0,,0.0,25.4858,42.7339
47,2001,Bulgaria,Other renewables,0.0,0.0,,0.0,25.4858,42.7339
48,2001,Bulgaria,Production,43.448,,7.00423603585853,2.844,25.4858,42.7339
49,2001,Bulgaria,Net imports,-6.92499999999999,,49.8917748917749,-2.30499999999999,25.4858,42.7339
50,2001,Bulgaria,Demand,36.523,,1.4978879502000901,0.539000000000001,25.4858,42.7339
51,2001,Croatia,Fossil,5.59,43.7731002944308,16.2403826159284,0.7809999999999989,15.2,45.1
52,2001,Croatia,Coal,1.6380000000000001,12.8265363653448,5.60928433268859,0.0869999999999999,15.2,45.1
53,2001,Croatia,Hard Coal,1.625,12.724738457683301,5.109961190168169,0.0789999999999999,15.2,45.1
54,2001,Croatia,Lignite,0.013000000000000001,0.10179790766146699,159.999999999999,0.008,15.2,45.1
55,2001,Croatia,Gas,1.8230000000000002,14.275198897450302,16.0407383831954,0.252,15.2,45.1
56,2001,Croatia,Other fossil,2.129,16.6713650316356,26.2003556609365,0.44199999999999895,15.2,45.1
57,2001,Croatia,Nuclear,0.0,0.0,,0.0,15.2,45.1
58,2001,Croatia,Renewables,7.1804,56.2268997055691,11.256759478764698,0.7264999999999989,15.2,45.1
59,2001,Croatia,Hydro,7.1804,56.2268997055691,11.274000836833,0.7275,15.2,45.1
60,2001,Croatia,Wind and solar,0.0,0.0,,0.0,15.2,45.1
61,2001,Croatia,Wind,0.0,0.0,,0.0,15.2,45.1
62,2001,Croatia,Solar,0.0,0.0,,0.0,15.2,45.1
63,2001,Croatia,Bioenergy,0.0,0.0,-100.0,-0.001,15.2,45.1
64,2001,Croatia,Other renewables,0.0,0.0,,0.0,15.2,45.1
65,2001,Croatia,Production,12.7704,,13.3846522654023,1.5075,15.2,45.1
66,2001,Croatia,Net imports,2.522,,-26.278865828705,-0.899,15.2,45.1
67,2001,Croatia,Demand,15.2924,,4.1439944428932405,0.6085000000000009,15.2,45.1
68,2001,Cyprus,Fossil,3.551,100.0,5.37091988130564,0.18100000000000002,33.4299,35.1264
69,2001,Cyprus,Coal,0.0,0.0,,0.0,33.4299,35.1264
70,2001,Cyprus,Hard Coal,0.0,0.0,,0.0,33.4299,35.1264
71,2001,Cyprus,Lignite,0.0,0.0,,0.0,33.4299,35.1264
72,2001,Cyprus,Gas,0.0,0.0,,0.0,33.4299,35.1264
73,2001,Cyprus,Other fossil,3.551,100.0,5.37091988130564,0.18100000000000002,33.4299,35.1264
74,2001,Cyprus,Nuclear,0.0,0.0,,0.0,33.4299,35.1264
75,2001,Cyprus,Renewables,0.0,0.0,,0.0,33.4299,35.1264
76,2001,Cyprus,Hydro,0.0,0.0,,0.0,33.4299,35.1264
77,2001,Cyprus,Wind and solar,0.0,0.0,,0.0,33.4299,35.1264
78,2001,Cyprus,Wind,0.0,0.0,,0.0,33.4299,35.1264
79,2001,Cyprus,Solar,0.0,0.0,,0.0,33.4299,35.1264
80,2001,Cyprus,Bioenergy,0.0,0.0,,0.0,33.4299,35.1264
81,2001,Cyprus,Other renewables,0.0,0.0,,0.0,33.4299,35.1264
82,2001,Cyprus,Production,3.551,,5.37091988130564,0.18100000000000002,33.4299,35.1264
83,2001,Cyprus,Net imports,0.0,,,0.0,33.4299,35.1264
84,2001,Cyprus,Demand,3.551,,5.37091988130564,0.18100000000000002,33.4299,35.1264
85,2001,Czech Republic,Fossil,56.908726,76.6608584427512,-0.223484411030028,-0.127467000000002,15.473,49.8175
86,2001,Czech Republic,Coal,52.593999999999994,70.8485582498905,-0.29951471034274,-0.158000000000001,15.473,49.8175
87,2001,Czech Republic,Hard Coal,5.672999999999999,7.64200994318038,2.86491387126019,0.158,15.473,49.8175
88,2001,Czech Republic,Lignite,46.92100000000001,63.2065483067101,-0.6689671232296801,-0.316000000000002,15.473,49.8175
89,2001,Czech Republic,Gas,1.58,2.1283933915432702,-6.5641632170313295,-0.11099999999999902,15.473,49.8175
90,2001,Czech Republic,Other fossil,2.7347259999999998,3.6839068013174505,5.457866036195529,0.141532999999999,15.473,49.8175
91,2001,Czech Republic,Nuclear,14.749,19.8681481847289,8.52832965415748,1.159,15.473,49.8175
92,2001,Czech Republic,Renewables,2.5766709999999997,3.4709933725197404,12.827551478396002,0.292946,15.473,49.8175
93,2001,Czech Republic,Hydro,2.0540000000000003,2.76691140900625,16.8373151308305,0.29600000000000004,15.473,49.8175
94,2001,Czech Republic,Wind and solar,8.1e-05,0.000109113838427218,-91.33689839572192,-0.0008539999999999999,15.473,49.8175
95,2001,Czech Republic,Wind,0.0,0.0,-100.0,-0.0008849999999999999,15.473,49.8175
96,2001,Czech Republic,Solar,8.1e-05,0.000109113838427218,62.0,3.1e-05,15.473,49.8175
97,2001,Czech Republic,Bioenergy,0.52259,0.703972849675063,-0.41921530516968397,-0.0021999999999999698,15.473,49.8175
98,2001,Czech Republic,Other renewables,0.0,0.0,,0.0,15.473,49.8175
99,2001,Czech Republic,Production,74.234397,,1.8165964745701497,1.32447899999999,15.473,49.8175
100,2001,Czech Republic,Net imports,-9.539,,-4.771887790755731,0.47800000000000104,15.473,49.8175
101,2001,Czech Republic,Demand,64.695397,,2.8659490723581897,1.80247899999999,15.473,49.8175
102,2001,Denmark,Fossil,31.8669999999999,84.4987139713096,4.68103278365417,1.425,9.5018,56.2639
103,2001,Denmark,Coal,17.819000000000003,47.2489592448227,6.87338811251725,1.146,9.5018,56.2639
104,2001,Denmark,Hard Coal,17.819000000000003,47.2489592448227,6.87338811251725,1.146,9.5018,56.2639
105,2001,Denmark,Lignite,0.0,0.0,,0.0,9.5018,56.2639
106,2001,Denmark,Gas,9.273,24.5883382388035,5.6872578071575,0.499,9.5018,56.2639
107,2001,Denmark,Other fossil,4.775,12.661416487683198,-4.4044044044043895,-0.219999999999999,9.5018,56.2639
108,2001,Denmark,Nuclear,0.0,0.0,,0.0,9.5018,56.2639
109,2001,Denmark,Renewables,5.846,15.5012860286903,4.91744436468055,0.27399999999999997,9.5018,56.2639
110,2001,Denmark,Hydro,0.027999999999999997,0.0742449553204465,-6.666666666666661,-0.0019999999999999896,9.5018,56.2639
111,2001,Denmark,Wind and solar,4.3069999999999995,11.420465091612899,1.53229608675153,0.0650000000000003,9.5018,56.2639
