,Year,Area,Total Generation (TWh)
0,2000,Austria,125.431946
13,2000,Belgium,130.30499999999998
26,2000,Bulgaria,79.9709999999999
39,2000,Croatia,24.076800000000002
52,2000,Cyprus,6.74
65,2000,Czech Republic,184.98183600000002
78,2000,Denmark,88.70099999999991
91,2000,Estonia,17.026499999999995
104,2000,Finland,125.57780600000001
117,2000,France,682.2118779999998
130,2000,Germany,1265.68
143,2000,Greece,141.16299999999995
156,2000,Hungary,65.791556
169,2000,Ireland,54.165
182,2000,Italy,564.5820919999998
195,2000,Latvia,8.273148
208,2000,Lithuania,13.640284
221,2000,Luxembourg,0.83833
234,2000,Malta,3.8339999999999996
247,2000,Netherlands,199.11605399999993
260,2000,Poland,422.23719199999994
273,2000,Portugal,101.33900000000003
286,2000,Romania,116.59
299,2000,Slovakia,50.68599999999998
312,2000,Slovenia,27.098902000000002
325,2000,Spain,458.72200000000004
338,2000,Sweden,234.78283600000003
351,2000,United Kingdom,783.6370000000001
364,2001,Austria,128.99742
377,2001,Belgium,120.823
390,2001,Bulgaria,86.83999999999999
403,2001,Croatia,27.1788
416,2001,Cyprus,7.102
429,2001,Czech Republic,186.313794
442,2001,Denmark,93.24499999999992
455,2001,Estonia,16.966
468,2001,Finland,136.455774
481,2001,France,689.975522
494,2001,Germany,1285.8999999999999
507,2001,Greece,141.583
520,2001,Hungary,67.543458
533,2001,Ireland,56.326
546,2001,Italy,573.8752979999998
559,2001,Latvia,8.56026
572,2001,Lithuania,17.225111999999996
585,2001,Luxembourg,1.736135999999998
598,2001,Malta,3.886
611,2001,Netherlands,208.34780999999998
624,2001,Poland,422.4110040000001
637,2001,Portugal,105.94200000000001
650,2001,Romania,121.33000000000001
663,2001,Slovakia,52.39179999999999
676,2001,Slovenia,28.59332399999998
689,2001,Spain,472.68199999999996
702,2001,Sweden,252.9590379999998
715,2001,United Kingdom,806.10274
728,2002,Austria,127.99009399999997
741,2002,Belgium,124.5469999999999
754,2002,Bulgaria,81.142
767,2002,Croatia,27.519799999999982
780,2002,Cyprus,7.57
793,2002,Czech Republic,183.15795399999996
806,2002,Denmark,96.80500000000002
819,2002,Estonia,17.054000000000002
832,2002,Finland,139.85135400000001
845,2002,France,694.1594779999997
858,2002,Germany,1291.6
871,2002,Greece,142.45600000000005
884,2002,Hungary,67.343944
897,2002,Ireland,56.507
910,2002,Italy,588.9748319999999
923,2002,Latvia,7.94903199999998
936,2002,Lithuania,20.168777999999996
949,2002,Luxembourg,5.619134
962,2002,Malta,4.104
975,2002,Netherlands,213.58704199999997
988,2002,Poland,417.92793199999994
1001,2002,Portugal,106.51200000000001
1014,2002,Romania,123.63499999999992
1027,2002,Slovakia,51.585999999999984
1040,2002,Slovenia,28.970124
1053,2002,Spain,497.97599999999994
1066,2002,Sweden,227.66134200000005
1079,2002,United Kingdom,805.617184
1092,2003,Austria,124.60531399999999
1105,2003,Belgium,129.381
1118,2003,Bulgaria,86.54500000000002
1131,2003,Croatia,28.787599999999998
1144,2003,Cyprus,8.104
1157,2003,Czech Republic,190.5372819999999
1170,2003,Denmark,117.641
1183,2003,Estonia,20.318
1196,2003,Finland,164.67769999999987
1209,2003,France,708.1970499999996
1222,2003,Germany,1347.8
1235,2003,Greece,150.97999999999996
1248,2003,Hungary,66.44636600000003
