,Unnamed: 0,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh)
0,0,2000,Austria,Fossil,16.418859,27.432214872725396,,
1,1,2000,Austria,Coal,5.7269999999999905,9.56852693455122,,
2,2,2000,Austria,Hard Coal,4.435,7.40988597079355,,
3,3,2000,Austria,Lignite,1.2919999999999998,2.15864096375767,,
4,4,2000,Austria,Gas,7.851,13.117252481781302,,
5,5,2000,Austria,Other fossil,2.840859,4.74643545639292,,
6,6,2000,Austria,Nuclear,0.0,0.0,,
8,8,2000,Austria,Hydro,41.835352,69.8974493501713,,
9,10,2000,Austria,Wind,0.066754,0.111530896977306,,
10,11,2000,Austria,Solar,0.003229,0.0053949316346544205,,
11,12,2000,Austria,Bioenergy,1.5282790000000002,2.55340994849118,,
12,13,2000,Austria,Other renewables,0.0,0.0,,
13,17,2000,Belgium,Fossil,33.571999999999996,40.5591195196501,,
14,18,2000,Belgium,Coal,12.915999999999999,15.6041221171154,,
15,19,2000,Belgium,Hard Coal,12.915999999999999,15.6041221171154,,
16,20,2000,Belgium,Lignite,0.0,0.0,,
17,21,2000,Belgium,Gas,15.977,19.302187911517,,
18,22,2000,Belgium,Other fossil,4.678999999999999,5.652809491017599,,
19,23,2000,Belgium,Nuclear,48.157,58.1795996278979,,
21,25,2000,Belgium,Hydro,0.45999999999999897,0.555736774068838,,
22,27,2000,Belgium,Wind,0.016,0.0193299747502204,,
23,28,2000,Belgium,Solar,0.0,0.0,,
24,29,2000,Belgium,Bioenergy,0.568,0.686214103632827,,
25,30,2000,Belgium,Other renewables,0.0,0.0,,
26,34,2000,Bulgaria,Fossil,19.7949999999999,48.7513545463501,,
27,35,2000,Bulgaria,Coal,16.941,41.7224903950349,,
28,36,2000,Bulgaria,Hard Coal,2.972,7.31947591370308,,
29,37,2000,Bulgaria,Lignite,13.969000000000001,34.4030144813318,,
30,38,2000,Bulgaria,Gas,1.912,4.708895675302919,,
31,39,2000,Bulgaria,Other fossil,0.9420000000000001,2.31996847601221,,
32,40,2000,Bulgaria,Nuclear,18.178,44.768988277017,,
34,42,2000,Bulgaria,Hydro,2.6310000000000002,6.4796571766328395,,
35,44,2000,Bulgaria,Wind,0.0,0.0,,
36,45,2000,Bulgaria,Solar,0.0,0.0,,
37,46,2000,Bulgaria,Bioenergy,0.0,0.0,,
38,47,2000,Bulgaria,Other renewables,0.0,0.0,,
39,51,2000,Croatia,Fossil,4.809,42.6977066297312,,
40,52,2000,Croatia,Coal,1.551,13.7708760621154,,
41,53,2000,Croatia,Hard Coal,1.546,13.7264825222633,,
42,54,2000,Croatia,Lignite,0.005,0.0443935398520807,,
43,55,2000,Croatia,Gas,1.571,13.9484502215237,,
44,56,2000,Croatia,Other fossil,1.6869999999999998,14.978380346092,,
45,57,2000,Croatia,Nuclear,0.0,0.0,,
47,59,2000,Croatia,Hydro,6.4529,57.2934146622983,,
48,61,2000,Croatia,Wind,0.0,0.0,,
49,62,2000,Croatia,Solar,0.0,0.0,,
50,63,2000,Croatia,Bioenergy,0.001,0.008878707970416141,,
51,64,2000,Croatia,Other renewables,0.0,0.0,,
52,68,2000,Cyprus,Fossil,3.37,100.0,,
53,69,2000,Cyprus,Coal,0.0,0.0,,
54,70,2000,Cyprus,Hard Coal,0.0,0.0,,
55,71,2000,Cyprus,Lignite,0.0,0.0,,
56,72,2000,Cyprus,Gas,0.0,0.0,,
57,73,2000,Cyprus,Other fossil,3.37,100.0,,
58,74,2000,Cyprus,Nuclear,0.0,0.0,,
60,76,2000,Cyprus,Hydro,0.0,0.0,,
61,78,2000,Cyprus,Wind,0.0,0.0,,
62,79,2000,Cyprus,Solar,0.0,0.0,,
63,80,2000,Cyprus,Bioenergy,0.0,0.0,,
64,81,2000,Cyprus,Other renewables,0.0,0.0,,
65,85,2000,Czech Republic,Fossil,57.036193000000004,78.2283049611988,,
66,86,2000,Czech Republic,Coal,52.751999999999995,72.3522964324277,,
67,87,2000,Czech Republic,Hard Coal,5.515,7.56412865530859,,
68,88,2000,Czech Republic,Lignite,47.236999999999995,64.7881677771191,,
69,89,2000,Czech Republic,Gas,1.6909999999999998,2.31930037282444,,
70,90,2000,Czech Republic,Other fossil,2.593193,3.55670815594663,,
71,91,2000,Czech Republic,Nuclear,13.59,18.6394394244141,,
73,93,2000,Czech Republic,Hydro,1.758,2.4111945922089704,,
74,95,2000,Czech Republic,Wind,0.0008849999999999999,0.0012138266291837,,
75,96,2000,Czech Republic,Solar,5e-05,6.8577775660096e-05,,
76,97,2000,Czech Republic,Bioenergy,0.52479,0.719778617773236,,
77,98,2000,Czech Republic,Other renewables,0.0,0.0,,
78,102,2000,Denmark,Fossil,30.4419999999999,84.5282390181596,,
79,103,2000,Denmark,Coal,16.673,46.29588493363689,,
80,104,2000,Denmark,Hard Coal,16.673,46.29588493363689,,
81,105,2000,Denmark,Lignite,0.0,0.0,,
82,106,2000,Denmark,Gas,8.774,24.3627478202921,,
83,107,2000,Denmark,Other fossil,4.995,13.8696062642305,,
84,108,2000,Denmark,Nuclear,0.0,0.0,,
86,110,2000,Denmark,Hydro,0.03,0.0833009385239073,,
87,112,2000,Denmark,Wind,4.2410000000000005,11.775976009329698,,
88,113,2000,Denmark,Solar,0.001,0.0027766979507969102,,
89,114,2000,Denmark,Bioenergy,1.3,3.60970733603598,,
90,115,2000,Denmark,Other renewables,0.0,0.0,,
91,119,2000,Estonia,Fossil,8.495,99.7856282853199,,
92,120,2000,Estonia,Coal,0.0,0.0,,
93,121,2000,Estonia,Hard Coal,0.0,0.0,,
94,122,2000,Estonia,Lignite,0.0,0.0,,
95,123,2000,Estonia,Gas,0.596,7.00085161366105,,
96,124,2000,Estonia,Other fossil,7.899,92.7847766716589,,
97,125,2000,Estonia,Nuclear,0.0,0.0,,
99,127,2000,Estonia,Hydro,0.005,0.0587319766246733,,
100,129,2000,Estonia,Wind,0.0,0.0,,
101,130,2000,Estonia,Solar,0.0,0.0,,
102,131,2000,Estonia,Bioenergy,0.01325,0.155639738055384,,
103,132,2000,Estonia,Other renewables,0.0,0.0,,
104,170,2000,Finland,Fossil,23.927301999999997,34.2872182540685,,
105,171,2000,Finland,Coal,8.487,12.161656225272601,,
106,172,2000,Finland,Hard Coal,8.487,12.161656225272601,,
107,173,2000,Finland,Lignite,0.0,0.0,,
108,174,2000,Finland,Gas,10.131,14.5174666216846,,
109,175,2000,Finland,Other fossil,5.309302,7.608095407111191,,
110,176,2000,Finland,Nuclear,22.479,32.2118381392605,,
112,178,2000,Finland,Hydro,14.66,21.0074090093669,,
113,180,2000,Finland,Wind,0.078,0.11177202610713599,,
114,181,2000,Finland,Solar,0.001576,0.00225836811724163,,
115,182,2000,Finland,Bioenergy,8.639025,12.3795042030795,,
