,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh)
0,2000,Austria,Fossil,16.418859,27.4322148727254,,
1,2000,Austria,Coal,5.72699999999999,9.56852693455122,,
2,2000,Austria,Hard Coal,4.435,7.40988597079355,,
3,2000,Austria,Lignite,1.292,2.15864096375767,,
4,2000,Austria,Gas,7.851,13.1172524817813,,
5,2000,Austria,Other fossil,2.840859,4.74643545639292,,
6,2000,Austria,Nuclear,0.0,0.0,,
7,2000,Austria,Renewables,43.433614,72.5677851272745,,
8,2000,Austria,Hydro,41.835352,69.8974493501713,,
10,2000,Austria,Wind,0.066754,0.111530896977306,,
11,2000,Austria,Solar,0.003229,0.00539493163465442,,
12,2000,Austria,Bioenergy,1.528279,2.55340994849118,,
13,2000,Austria,Other renewables,0.0,0.0,,
17,2000,Belgium,Fossil,33.572,40.5591195196501,,
18,2000,Belgium,Coal,12.916,15.6041221171154,,
19,2000,Belgium,Hard Coal,12.916,15.6041221171154,,
20,2000,Belgium,Lignite,0.0,0.0,,
21,2000,Belgium,Gas,15.977,19.302187911517,,
22,2000,Belgium,Other fossil,4.679,5.6528094910176,,
23,2000,Belgium,Nuclear,48.157,58.1795996278979,,
24,2000,Belgium,Renewables,1.04399999999999,1.26128085245188,,
25,2000,Belgium,Hydro,0.459999999999999,0.555736774068838,,
27,2000,Belgium,Wind,0.016,0.0193299747502204,,
28,2000,Belgium,Solar,0.0,0.0,,
29,2000,Belgium,Bioenergy,0.568,0.686214103632827,,
30,2000,Belgium,Other renewables,0.0,0.0,,
34,2000,Bulgaria,Fossil,19.7949999999999,48.7513545463501,,
35,2000,Bulgaria,Coal,16.941,41.7224903950349,,
36,2000,Bulgaria,Hard Coal,2.972,7.31947591370308,,
37,2000,Bulgaria,Lignite,13.969,34.4030144813318,,
38,2000,Bulgaria,Gas,1.912,4.70889567530292,,
39,2000,Bulgaria,Other fossil,0.942,2.31996847601221,,
40,2000,Bulgaria,Nuclear,18.178,44.768988277017,,
41,2000,Bulgaria,Renewables,2.631,6.47965717663284,,
42,2000,Bulgaria,Hydro,2.631,6.47965717663284,,
44,2000,Bulgaria,Wind,0.0,0.0,,
45,2000,Bulgaria,Solar,0.0,0.0,,
46,2000,Bulgaria,Bioenergy,0.0,0.0,,
47,2000,Bulgaria,Other renewables,0.0,0.0,,
51,2000,Croatia,Fossil,4.809,42.6977066297312,,
52,2000,Croatia,Coal,1.551,13.7708760621154,,
53,2000,Croatia,Hard Coal,1.546,13.7264825222633,,
54,2000,Croatia,Lignite,0.005,0.0443935398520807,,
55,2000,Croatia,Gas,1.571,13.9484502215237,,
56,2000,Croatia,Other fossil,1.687,14.978380346092,,
57,2000,Croatia,Nuclear,0.0,0.0,,
58,2000,Croatia,Renewables,6.4539,57.3022933702687,,
59,2000,Croatia,Hydro,6.4529,57.2934146622983,,
61,2000,Croatia,Wind,0.0,0.0,,
62,2000,Croatia,Solar,0.0,0.0,,
63,2000,Croatia,Bioenergy,0.001,0.00887870797041614,,
64,2000,Croatia,Other renewables,0.0,0.0,,
68,2000,Cyprus,Fossil,3.37,100.0,,
69,2000,Cyprus,Coal,0.0,0.0,,
70,2000,Cyprus,Hard Coal,0.0,0.0,,
71,2000,Cyprus,Lignite,0.0,0.0,,
72,2000,Cyprus,Gas,0.0,0.0,,
73,2000,Cyprus,Other fossil,3.37,100.0,,
74,2000,Cyprus,Nuclear,0.0,0.0,,
75,2000,Cyprus,Renewables,0.0,0.0,,
76,2000,Cyprus,Hydro,0.0,0.0,,
78,2000,Cyprus,Wind,0.0,0.0,,
79,2000,Cyprus,Solar,0.0,0.0,,
80,2000,Cyprus,Bioenergy,0.0,0.0,,
81,2000,Cyprus,Other renewables,0.0,0.0,,
85,2000,Czech Republic,Fossil,57.036193,78.2283049611988,,
86,2000,Czech Republic,Coal,52.752,72.3522964324277,,
87,2000,Czech Republic,Hard Coal,5.515,7.56412865530859,,
88,2000,Czech Republic,Lignite,47.237,64.7881677771191,,
89,2000,Czech Republic,Gas,1.691,2.31930037282444,,
90,2000,Czech Republic,Other fossil,2.593193,3.55670815594663,,
91,2000,Czech Republic,Nuclear,13.59,18.6394394244141,,
92,2000,Czech Republic,Renewables,2.283725,3.13225561438705,,
93,2000,Czech Republic,Hydro,1.758,2.41119459220897,,
95,2000,Czech Republic,Wind,0.000885,0.0012138266291837,,
96,2000,Czech Republic,Solar,5e-05,6.8577775660096e-05,,
97,2000,Czech Republic,Bioenergy,0.52479,0.719778617773236,,
98,2000,Czech Republic,Other renewables,0.0,0.0,,
102,2000,Denmark,Fossil,30.4419999999999,84.5282390181596,,
