,Year,Area,Share_sum(%),Change_sum(%)
6,2000,Austria,72.56778512727443,0.0
19,2000,Belgium,59.44088048034979,0.0
32,2000,Bulgaria,51.24864545364984,0.0
45,2000,Croatia,57.302293370268714,0.0
58,2000,Cyprus,0.0,0.0
71,2000,Czech Republic,21.771695038801152,0.0
84,2000,Denmark,15.471760981840381,0.0
97,2000,Estonia,0.2143717146800573,0.0
110,2000,Finland,65.71278174593128,0.0
123,2000,France,90.54158734463176,0.0
136,2000,Germany,36.26953876280726,0.0
149,2000,Greece,7.756668226485725,0.0
162,2000,Hungary,40.98453861974853,0.0
175,2000,Ireland,5.0097152994846565,0.0
188,2000,Italy,18.903291896671266,0.0
201,2000,Latvia,68.25875712606614,0.0
214,2000,Lithuania,79.41002980876439,0.0
227,2000,Luxembourg,40.70926723366685,0.0
240,2000,Malta,0.0,0.0
253,2000,Netherlands,7.716241250142489,0.0
266,2000,Poland,1.6287805694244764,0.0
279,2000,Portugal,29.66891081803928,0.0
292,2000,Romania,39.2435996896818,0.0
305,2000,Slovakia,68.5401649457756,0.0
318,2000,Slovenia,63.602203127303845,0.0
331,2000,Spain,43.770284767582304,0.0
344,2000,Sweden,96.71214392467049,0.0
357,2000,United Kingdom,25.384440734557547,0.0
370,2001,Austria,69.17554827253586,127.84909502887771
383,2001,Belgium,60.32206364954582,128.47081232668492
396,2001,Bulgaria,48.80316700423494,-29.684106144236303
409,2001,Croatia,56.2268997055691,-88.725999163167
422,2001,Cyprus,0.0,0.0
435,2001,Czech Republic,23.339141557248638,-13.053570520181706
448,2001,Denmark,15.501286028690355,11.09675995622705
461,2001,Estonia,0.212189084050453,23.0188679245282
474,2001,Finland,59.64624620698864,-14.303858953699457
487,2001,France,91.4775117747631,214.3173378710627
500,2001,Germany,36.13402061855665,207.64254151368007
513,2001,Greece,5.524154043258704,inf
526,2001,Hungary,39.4978403129086,inf
539,2001,Ireland,4.169373173108145,9.356506698259032
552,2001,Italy,20.04905408217703,148.13143834032883
565,2001,Latvia,66.33279830285524,inf
578,2001,Lithuania,81.78200022443677,inf
591,2001,Luxembourg,19.31772626107626,22.26820789438135
604,2001,Malta,0.0,0.0
617,2001,Netherlands,7.790714558403389,52.58725718326903
630,2001,Poland,1.9363973554726335,291.3038377744244
643,2001,Portugal,34.09504418644948,111.35423466556244
656,2001,Romania,38.043742178890795,0.797903795330202
669,2001,Slovakia,69.68250179040335,inf
682,2001,Slovenia,63.07808104461439,12.54782150499174
695,2001,Spain,48.48665579679049,120.77890881127425
708,2001,Sweden,96.18489535526872,31.17534658501858
721,2001,United Kingdom,26.05937470635278,inf
734,2002,Austria,69.03466645856588,inf
747,2002,Belgium,59.91919840867809,58.63850321271176
760,2002,Bulgaria,53.070727709011386,31.586218488363333
773,2002,Croatia,46.05443354794021,-18.508718177260302
786,2002,Cyprus,0.0,0.0
799,2002,Czech Republic,28.60199827416399,inf
812,2002,Denmark,17.286245353159767,51.9010129024842
825,2002,Estonia,0.3518236190922941,inf
838,2002,Finland,56.37791650306164,-11.651106598801231
851,2002,France,90.48752240615728,111.49199605096716
864,2002,Germany,36.24334078020269,171.91377341582663
877,2002,Greece,6.630827694874396,79.1288640191231
890,2002,Hungary,39.24546557715058,-37.15913203137299
903,2002,Ireland,5.562935233264896,53.7238813730734
916,2002,Italy,17.457302128937876,65.3350778312928
929,2002,Latvia,62.511158591385666,487.4974111168905
942,2002,Lithuania,84.5179844071154,126.95437166895793
955,2002,Luxembourg,5.384601968915482,20.2825096851915
968,2002,Malta,0.0,0.0
981,2002,Netherlands,8.240191394245524,71.38821616657263
994,2002,Poland,1.941877494184432,329.9069622618003
1007,2002,Portugal,21.32092004381158,97.93085744943006
1020,2002,Romania,39.62291888713286,inf
1033,2002,Slovakia,72.60499502982093,10.33653146904861
1046,2002,Slovenia,61.25513098930514,inf
1059,2002,Spain,40.09337029240736,53.472544624831265
1072,2002,Sweden,94.92568732482017,25.07699246459212
1085,2002,United Kingdom,25.73459509771945,232.2475561104286
1098,2003,Austria,60.69371517512981,220.06600385790603
1111,2003,Belgium,58.126398678809494,41.899884973985834
1124,2003,Bulgaria,47.93824183099251,26.9921312000125
1137,2003,Croatia,41.3726709016207,-6.726595344703799
1150,2003,Cyprus,0.0,0.0
1163,2003,Czech Republic,33.5091695370053,192.27535786936375
1176,2003,Denmark,17.49734658955522,112.38019100363891
1189,2003,Estonia,0.48233093808445604,647.1014492753616
1202,2003,Finland,49.71004878071974,53.05509132475247
