,Year,Area,Variable,Share of production (%),Change on last year (%)
6,2000,Austria,Nuclear,0.0,
7,2000,Austria,Renewables,72.5677851272745,
8,2000,Austria,Hydro,69.8974493501713,
9,2000,Austria,Wind,0.111530896977306,
10,2000,Austria,Solar,0.0053949316346544205,
11,2000,Austria,Bioenergy,2.55340994849118,
12,2000,Austria,Other renewables,0.0,
19,2000,Belgium,Nuclear,58.1795996278979,
20,2000,Belgium,Renewables,1.26128085245188,
21,2000,Belgium,Hydro,0.555736774068838,
22,2000,Belgium,Wind,0.0193299747502204,
23,2000,Belgium,Solar,0.0,
24,2000,Belgium,Bioenergy,0.686214103632827,
25,2000,Belgium,Other renewables,0.0,
32,2000,Bulgaria,Nuclear,44.768988277017,
33,2000,Bulgaria,Renewables,6.4796571766328395,
34,2000,Bulgaria,Hydro,6.4796571766328395,
35,2000,Bulgaria,Wind,0.0,
36,2000,Bulgaria,Solar,0.0,
37,2000,Bulgaria,Bioenergy,0.0,
38,2000,Bulgaria,Other renewables,0.0,
45,2000,Croatia,Nuclear,0.0,
46,2000,Croatia,Renewables,57.30229337026871,
47,2000,Croatia,Hydro,57.2934146622983,
48,2000,Croatia,Wind,0.0,
49,2000,Croatia,Solar,0.0,
50,2000,Croatia,Bioenergy,0.008878707970416141,
51,2000,Croatia,Other renewables,0.0,
58,2000,Cyprus,Nuclear,0.0,
59,2000,Cyprus,Renewables,0.0,
60,2000,Cyprus,Hydro,0.0,
61,2000,Cyprus,Wind,0.0,
62,2000,Cyprus,Solar,0.0,
63,2000,Cyprus,Bioenergy,0.0,
64,2000,Cyprus,Other renewables,0.0,
71,2000,Czech Republic,Nuclear,18.6394394244141,
72,2000,Czech Republic,Renewables,3.1322556143870495,
73,2000,Czech Republic,Hydro,2.4111945922089704,
74,2000,Czech Republic,Wind,0.0012138266291837,
75,2000,Czech Republic,Solar,6.8577775660096e-05,
76,2000,Czech Republic,Bioenergy,0.719778617773236,
77,2000,Czech Republic,Other renewables,0.0,
84,2000,Denmark,Nuclear,0.0,
85,2000,Denmark,Renewables,15.471760981840301,
86,2000,Denmark,Hydro,0.0833009385239073,
87,2000,Denmark,Wind,11.775976009329698,
88,2000,Denmark,Solar,0.0027766979507969102,
89,2000,Denmark,Bioenergy,3.60970733603598,
90,2000,Denmark,Other renewables,0.0,
97,2000,Estonia,Nuclear,0.0,
98,2000,Estonia,Renewables,0.21437171468005703,
