,Year,Variable,Total_Generation(TWh)
0,2000,Fossil,1637.692375
1,2000,Coal,915.0029999999999
2,2000,Hard Coal,575.2220000000001
3,2000,Lignite,339.78099999999995
4,2000,Gas,476.285561
5,2000,Other fossil,246.40381399999995
6,2000,Nuclear,944.9870000000001
8,2000,Hydro,360.0204009999998
9,2000,Wind,22.370988999999998
10,2000,Solar,0.09422
11,2000,Bioenergy,33.134787999999986
12,2000,Other renewables,5.292307
13,2000,Fossil,1637.692375
14,2000,Coal,915.0029999999999
15,2000,Hard Coal,575.2220000000001
16,2000,Lignite,339.78099999999995
17,2000,Gas,476.285561
18,2000,Other fossil,246.40381399999995
19,2000,Nuclear,944.9870000000001
21,2000,Hydro,360.0204009999998
22,2000,Wind,22.370988999999998
23,2000,Solar,0.09422
24,2000,Bioenergy,33.134787999999986
25,2000,Other renewables,5.292307
26,2000,Fossil,1637.692375
27,2000,Coal,915.0029999999999
28,2000,Hard Coal,575.2220000000001
29,2000,Lignite,339.78099999999995
30,2000,Gas,476.285561
31,2000,Other fossil,246.40381399999995
32,2000,Nuclear,944.9870000000001
34,2000,Hydro,360.0204009999998
35,2000,Wind,22.370988999999998
36,2000,Solar,0.09422
37,2000,Bioenergy,33.134787999999986
38,2000,Other renewables,5.292307
39,2000,Fossil,1637.692375
40,2000,Coal,915.0029999999999
41,2000,Hard Coal,575.2220000000001
42,2000,Lignite,339.78099999999995
43,2000,Gas,476.285561
44,2000,Other fossil,246.40381399999995
45,2000,Nuclear,944.9870000000001
47,2000,Hydro,360.0204009999998
48,2000,Wind,22.370988999999998
49,2000,Solar,0.09422
50,2000,Bioenergy,33.134787999999986
51,2000,Other renewables,5.292307
52,2000,Fossil,1637.692375
53,2000,Coal,915.0029999999999
54,2000,Hard Coal,575.2220000000001
55,2000,Lignite,339.78099999999995
56,2000,Gas,476.285561
57,2000,Other fossil,246.40381399999995
58,2000,Nuclear,944.9870000000001
60,2000,Hydro,360.0204009999998
61,2000,Wind,22.370988999999998
62,2000,Solar,0.09422
63,2000,Bioenergy,33.134787999999986
64,2000,Other renewables,5.292307
65,2000,Fossil,1637.692375
66,2000,Coal,915.0029999999999
67,2000,Hard Coal,575.2220000000001
68,2000,Lignite,339.78099999999995
69,2000,Gas,476.285561
70,2000,Other fossil,246.40381399999995
71,2000,Nuclear,944.9870000000001
73,2000,Hydro,360.0204009999998
74,2000,Wind,22.370988999999998
75,2000,Solar,0.09422
76,2000,Bioenergy,33.134787999999986
77,2000,Other renewables,5.292307
78,2000,Fossil,1637.692375
79,2000,Coal,915.0029999999999
80,2000,Hard Coal,575.2220000000001
81,2000,Lignite,339.78099999999995
82,2000,Gas,476.285561
83,2000,Other fossil,246.40381399999995
84,2000,Nuclear,944.9870000000001
86,2000,Hydro,360.0204009999998
87,2000,Wind,22.370988999999998
88,2000,Solar,0.09422
89,2000,Bioenergy,33.134787999999986
90,2000,Other renewables,5.292307
91,2000,Fossil,1637.692375
92,2000,Coal,915.0029999999999
93,2000,Hard Coal,575.2220000000001
94,2000,Lignite,339.78099999999995
95,2000,Gas,476.285561
96,2000,Other fossil,246.40381399999995
97,2000,Nuclear,944.9870000000001
99,2000,Hydro,360.0204009999998
100,2000,Wind,22.370988999999998
101,2000,Solar,0.09422
102,2000,Bioenergy,33.134787999999986
103,2000,Other renewables,5.292307
104,2000,Fossil,1637.692375
105,2000,Coal,915.0029999999999
106,2000,Hard Coal,575.2220000000001
107,2000,Lignite,339.78099999999995
108,2000,Gas,476.285561
109,2000,Other fossil,246.40381399999995
110,2000,Nuclear,944.9870000000001
112,2000,Hydro,360.0204009999998
113,2000,Wind,22.370988999999998
114,2000,Solar,0.09422
115,2000,Bioenergy,33.134787999999986
116,2000,Other renewables,5.292307
117,2000,Fossil,1637.692375
118,2000,Coal,915.0029999999999
119,2000,Hard Coal,575.2220000000001
120,2000,Lignite,339.78099999999995
121,2000,Gas,476.285561
122,2000,Other fossil,246.40381399999995
123,2000,Nuclear,944.9870000000001
125,2000,Hydro,360.0204009999998
126,2000,Wind,22.370988999999998
127,2000,Solar,0.09422
128,2000,Bioenergy,33.134787999999986
129,2000,Other renewables,5.292307
130,2000,Fossil,1637.692375
131,2000,Coal,915.0029999999999
132,2000,Hard Coal,575.2220000000001
133,2000,Lignite,339.78099999999995
134,2000,Gas,476.285561
135,2000,Other fossil,246.40381399999995
136,2000,Nuclear,944.9870000000001
138,2000,Hydro,360.0204009999998
139,2000,Wind,22.370988999999998
140,2000,Solar,0.09422
141,2000,Bioenergy,33.134787999999986
142,2000,Other renewables,5.292307
143,2000,Fossil,1637.692375
144,2000,Coal,915.0029999999999
145,2000,Hard Coal,575.2220000000001
146,2000,Lignite,339.78099999999995
147,2000,Gas,476.285561
148,2000,Other fossil,246.40381399999995
149,2000,Nuclear,944.9870000000001
151,2000,Hydro,360.0204009999998
152,2000,Wind,22.370988999999998
153,2000,Solar,0.09422
154,2000,Bioenergy,33.134787999999986
155,2000,Other renewables,5.292307
156,2000,Fossil,1637.692375
157,2000,Coal,915.0029999999999
158,2000,Hard Coal,575.2220000000001
159,2000,Lignite,339.78099999999995
160,2000,Gas,476.285561
161,2000,Other fossil,246.40381399999995
162,2000,Nuclear,944.9870000000001
164,2000,Hydro,360.0204009999998
165,2000,Wind,22.370988999999998
166,2000,Solar,0.09422
167,2000,Bioenergy,33.134787999999986
168,2000,Other renewables,5.292307
169,2000,Fossil,1637.692375
170,2000,Coal,915.0029999999999
171,2000,Hard Coal,575.2220000000001
172,2000,Lignite,339.78099999999995
173,2000,Gas,476.285561
174,2000,Other fossil,246.40381399999995
175,2000,Nuclear,944.9870000000001
177,2000,Hydro,360.0204009999998
178,2000,Wind,22.370988999999998
179,2000,Solar,0.09422
180,2000,Bioenergy,33.134787999999986
181,2000,Other renewables,5.292307
182,2000,Fossil,1637.692375
183,2000,Coal,915.0029999999999
184,2000,Hard Coal,575.2220000000001
185,2000,Lignite,339.78099999999995
186,2000,Gas,476.285561
187,2000,Other fossil,246.40381399999995
188,2000,Nuclear,944.9870000000001
190,2000,Hydro,360.0204009999998
191,2000,Wind,22.370988999999998
192,2000,Solar,0.09422
193,2000,Bioenergy,33.134787999999986
194,2000,Other renewables,5.292307
195,2000,Fossil,1637.692375
196,2000,Coal,915.0029999999999
197,2000,Hard Coal,575.2220000000001
198,2000,Lignite,339.78099999999995
199,2000,Gas,476.285561
200,2000,Other fossil,246.40381399999995
201,2000,Nuclear,944.9870000000001
203,2000,Hydro,360.0204009999998
204,2000,Wind,22.370988999999998
205,2000,Solar,0.09422
206,2000,Bioenergy,33.134787999999986
207,2000,Other renewables,5.292307
208,2000,Fossil,1637.692375
209,2000,Coal,915.0029999999999
210,2000,Hard Coal,575.2220000000001
211,2000,Lignite,339.78099999999995
212,2000,Gas,476.285561
213,2000,Other fossil,246.40381399999995
214,2000,Nuclear,944.9870000000001
216,2000,Hydro,360.0204009999998
217,2000,Wind,22.370988999999998
218,2000,Solar,0.09422
219,2000,Bioenergy,33.134787999999986
220,2000,Other renewables,5.292307
221,2000,Fossil,1637.692375
222,2000,Coal,915.0029999999999
223,2000,Hard Coal,575.2220000000001
224,2000,Lignite,339.78099999999995
225,2000,Gas,476.285561
226,2000,Other fossil,246.40381399999995
227,2000,Nuclear,944.9870000000001
229,2000,Hydro,360.0204009999998
230,2000,Wind,22.370988999999998
231,2000,Solar,0.09422
232,2000,Bioenergy,33.134787999999986
233,2000,Other renewables,5.292307
234,2000,Fossil,1637.692375
235,2000,Coal,915.0029999999999
236,2000,Hard Coal,575.2220000000001
237,2000,Lignite,339.78099999999995
238,2000,Gas,476.285561
239,2000,Other fossil,246.40381399999995
